Ticker,Price,Probability,Predicted_Return,Signal,Signal_Type,Paper_Status,Real_Order,Quantity,Position_Value
AVHOL.IS,33.58000183105469,0.4911654863634688,0.006404118965961226,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,33.58000183105469
NATEN.IS,5.050000190734863,0.48595112905663557,0.004552046844134825,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,5.050000190734863
CRDFA.IS,26.0,0.46627268363789814,0.006515489833656581,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,26.0
KAREL.IS,8.100000381469727,0.47418234104982826,0.005954430510740268,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,8.100000381469727
KOPOL.IS,5.0,0.4914694603434242,0.005282474176756299,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,5.0
SELVA.IS,1.5399999618530273,0.4857968016593094,0.006470994154197222,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,1.5399999618530273
EKIZ.IS,57.04999923706055,0.49811357653052435,0.006872436900505393,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,57.04999923706055
KZBGY.IS,1.840000033378601,0.4791195866896487,0.0051666068897330275,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,1.840000033378601
DGATE.IS,89.30000305175781,0.45988485831265646,0.004472883616929967,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,89.30000305175781
VSNMD.IS,40.900001525878906,0.4812742053820871,0.007860782324174208,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,40.900001525878906
AGROT.IS,1.940000057220459,0.48606016107235606,0.007766010199055881,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,1.940000057220459
CGCAM.IS,32.400001525878906,0.4715872658088942,0.006626767530898822,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,32.400001525878906
BAKAB.IS,37.5,0.4964531051558553,0.007472512901618277,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,37.5
AZTEK.IS,3.6500000953674316,0.5098280916495984,0.008321446358187441,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,3.6500000953674316
MMCAS.IS,46.70000076293945,0.47506793302485917,0.006102762708911061,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,46.70000076293945
DAPGM.IS,7.650000095367432,0.4961176923363805,0.006676395277416956,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,7.650000095367432
EKSUN.IS,5.579999923706055,0.48724304564892945,0.004060330580767844,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,5.579999923706055
